id,original_title,release_date,poster_path,overview,title,popularity,vote_average,vote_count
155,The Dark Knight,2008-07-16,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",The Dark Knight,26.2861,8.525,34942
207,Dead Poets Society,1989-06-02,/l5NbiHKUmahlAT3Q1ig8Tyl9xrc.jpg,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",Dead Poets Society,14.1192,8.302,12146
238,The Godfather,1972-03-14,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",The Godfather,32.3015,8.685,22240
240,The Godfather Part II,1974-12-20,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",The Godfather Part II,17.6109,8.6,13449
274,The Silence of the Lambs,1991-02-14,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",The Silence of the Lambs,4.3351,8.3,17416
278,The Shawshank Redemption,1994-09-23,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",The Shawshank Redemption,41.2322,8.713,29468
311,Once Upon a Time in America,1984-05-23,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Once Upon a Time in America,9.6604,8.395,5832
389,12 Angry Men,1957-04-10,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes mini-dramas of each of the jurors' prejudices and preconceptions.",12 Angry Men,12.1634,8.55,9628
423,The Pianist,2002-09-17,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",The Pianist,9.4143,8.379,9824
424,Schindler's List,1993-12-15,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Schindler's List,15.6863,8.565,16967
497,The Green Mile,1999-12-10,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",The Green Mile,20.1773,8.503,18690
510,One Flew Over the Cuckoo's Nest,1975-11-19,/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",One Flew Over the Cuckoo's Nest,8.7807,8.412,11110
539,Psycho,1960-06-22,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",Psycho,11.4395,8.4,10701
550,Fight Club,1999-10-15,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town.",Fight Club,25.344,8.438,31197
567,Rear Window,1954-08-01,/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Rear Window,6.333,8.347,6942
599,Sunset Boulevard,1950-08-10,/oOZIN0sbRNLKQC4RRCQnmAx1PlV.jpg,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,Sunset Boulevard,4.1725,8.285,2824
603,The Matrix,1999-03-31,/p96dm7sCMn4VYAStA6siNz30G1r.jpg,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",The Matrix,23.4408,8.237,27182
680,Pulp Fiction,1994-09-10,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Pulp Fiction,24.9397,8.486,29481
769,GoodFellas,1990-09-12,/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",GoodFellas,18.5792,8.452,13885
807,Se7en,1995-09-22,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Se7en,18.3262,8.378,22437
857,Saving Private Ryan,1998-07-24,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",Saving Private Ryan,14.2284,8.221,16760
862,Toy Story,1995-11-22,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",Toy Story,20.4735,7.971,19413
901,City Lights,1931-02-06,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,City Lights,2.8881,8.3,2368
914,The Great Dictator,1940-10-15,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,The Great Dictator,3.1776,8.289,3579
975,Paths of Glory,1957-10-25,/p7OHwomA8UOhe3EhckF2IetBTh9.jpg,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,Paths of Glory,4.2225,8.26,3161
1585,It's a Wonderful Life,1946-12-20,/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",It's a Wonderful Life,14.7312,8.275,4722
1891,The Empire Strikes Back,1980-05-20,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",The Empire Strikes Back,8.9876,8.393,17941
3082,Modern Times,1936-02-05,/eqLVa5YQg5FmmDi3vbm46KgcPDq.jpg,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",Modern Times,3.201,8.283,3946
8587,The Lion King,1994-06-15,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",The Lion King,17.8753,8.256,19252
10191,How to Train Your Dragon,2010-03-18,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",How to Train Your Dragon,16.6576,7.856,13985
19995,Avatar,2009-12-16,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Avatar,102.5389,7.599,33183
27205,Inception,2010-07-15,/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Inception,26.3177,8.371,38448
37165,The Truman Show,1998-06-04,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,The Truman Show,16.8132,8.149,19624
68718,Django Unchained,2012-12-25,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Django Unchained,28.3195,8.186,27398
137106,The Lego Movie,2014-02-06,/lbctonEnewCYZ4FYoTZhs8cidAl.jpg,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",The Lego Movie,7.0542,7.4,8247
157336,Interstellar,2014-11-05,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Interstellar,45.1398,8.5,38539
244786,Whiplash,2014-10-10,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Whiplash,16.2813,8.375,16175
299534,Avengers: Endgame,2019-04-24,/bR8ISy1O9XQxqiy0fQFw2BX72RQ.jpg,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Avengers: Endgame,23.1773,8.237,27089
299536,Avengers: Infinity War,2018-04-25,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",Avengers: Infinity War,32.2228,8.236,31303
324857,Spider-Man: Into the Spider-Verse,2018-12-06,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",Spider-Man: Into the Spider-Verse,16.146,8.395,16719
346698,Barbie,2023-07-19,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",Barbie,21.3145,6.937,10615
361743,Top Gun: Maverick,2022-05-21,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",Top Gun: Maverick,20.7288,8.16,10456
447362,Life in a Year,2020-11-27,/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",Life in a Year,3.2052,8.24,1949
490132,Green Book,2018-11-16,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",Green Book,10.092,8.224,12470
508965,Klaus,2019-11-08,/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,"A selfish postman and a reclusive toymaker form an unlikely friendship, delivering joy to a cold, dark town that desperately needs it.",Klaus,10.3519,8.228,4504
527641,Five Feet Apart,2019-03-14,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",Five Feet Apart,5.7983,8.222,5837
569094,Spider-Man: Across the Spider-Verse,2023-05-31,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",Spider-Man: Across the Spider-Verse,25.976,8.338,8141
630566,Clouds,2020-10-09,/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",Clouds,4.056,8.2,1039
530915,1917,2019-12-25,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,"At the height of the First World War, two young British soldiers are given a seemingly impossible mission: deliver a message deep in enemy territory that will stop 1,600 men from walking straight into a deadly trap.",1917,98.7,7.9,12200
679,Aliens,1986-07-18,/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg,"Ripley returns to the planet LV-426 with a squad of elite colonial marines to investigate a colony that has stopped responding. What they find is worse than anyone imagined.",Aliens,82.4,8.0,9400
1579,Apocalypto,2006-12-07,/cRY25Q32kDNPFDkFkxAs6bgCq3L.jpg,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to save his family and preserve his way of life.",Apocalypto,61.2,7.6,3600
76600,Avatar: The Way of Water,2022-12-14,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. When a familiar threat returns, Jake must work with Neytiri and the army of the Na'vi race.",Avatar: The Way of Water,132.1,7.6,12000
339403,Baby Driver,2017-06-28,/dN9LbVNNZFITwfaRjl4tmwGWkRg.jpg,"A talented getaway driver relies on the beat of his personal soundtrack to be the best in the game, until a doomed heist threatens his life.",Baby Driver,74.2,7.5,14500
272,Batman Begins,2005-06-10,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,"Driven by tragedy, Bruce Wayne dedicates his life to an ideal: to become the symbol of fear for the criminals of Gotham.",Batman Begins,66.8,7.7,20500
123025,Batman: The Dark Knight Returns Part 1,2012-09-06,/g1CECBSnaASE2jeyQdPhcnZqiHm.jpg,"Batman comes out of retirement to fight crime in a Gotham City plagued by chaos.",Batman: The Dark Knight Returns, Part 1,28.9,7.6,1200
177572,Big Hero 6,2014-10-24,/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,"A robotics prodigy teams up with friends to form a band of high-tech heroes.",Big Hero 6,77.1,7.7,15000
1422,Blood Diamond,2006-12-07,/bqKNoySmI4eOjsSjJEnLj4j2HAp.jpg,"A fisherman, a mercenary, and a journalist join forces during the Sierra Leone Civil War.",Blood Diamond,39.7,7.5,5800
16136,Bound by Honor,1993-02-05,/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg,"Three cousins grow up together, but their lives take different paths shaped by crime and loyalty.",Bound by Honor,18.2,7.8,900
197,Braveheart,1995-05-24,/or1gBugydmjToAEq7OZY0owwFk.jpg,"William Wallace leads his countrymen in a rebellion to free his homeland from tyranny.",Braveheart,85.3,7.9,10000
271110,Captain America: Civil War,2016-04-27,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,"Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.",Captain America: Civil War,71.9,7.4,23000
100402,Captain America: The Winter Soldier,2014-03-20,/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,"Captain America teams up with Black Widow to uncover a conspiracy within S.H.I.E.L.D.",Captain America: The Winter Soldier,72.6,7.7,21000
109424,Captain Phillips,2013-10-10,/8Td0kkocW6sD3uRpzwfMfkqMWhx.jpg,"The true story of the 2009 hijacking of the U.S. container ship Maersk Alabama.",Captain Phillips,41.2,7.5,6500
36557,Casino Royale,2006-11-14,/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,"James Bond earns his 00 status and faces a deadly banker in a high-stakes poker game.",Casino Royale,69.4,7.6,9200
1139087,Once Upon a Studio,2023-09-24,/aiy3G1cYWV3LgKZHY6a3jL8bjYL.jpg,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",Once Upon a Studio,3.2431,8.282,411
1184918,The Wild Robot,2024-09-12,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",The Wild Robot,19.5556,8.319,5610
1186532,The Forge,2024-08-22,/oranxontIQRmhuyQlkoAwxpeBYz.jpg,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",The Forge,4.4747,8.268,312
